2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0043.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0044.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0045.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0046.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0047.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0048.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0049.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0050.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0051.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0052.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0053.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0054.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0055.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0056.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0057.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0058.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0059.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0060.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0061.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0062.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0063.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0064.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0065.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0066.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0067.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0068.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0069.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0070.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0071.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0072.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0073.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0074.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0075.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0076.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0077.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0078.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0079.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0080.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0081.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0082.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0083.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0084.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0085.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0086.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0087.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0088.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0089.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0090.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0091.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0092.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0093.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0094.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0095.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0096.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0097.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0098.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0099.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0100.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0101.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0102.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0103.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0104.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0105.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0106.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0107.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0108.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0109.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0110.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0111.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0112.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0113.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0114.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0115.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0116.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0117.xml中"飞机"类目标有1个,被检测出的目标有0个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0118.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0119.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0120.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0121.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0122.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0123.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0124.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0125.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0126.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0127.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0128.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
